fpr,"[0.00000000e+00 1.52604959e-05 3.22222697e-05 4.78950142e-05
 6.29850905e-05 7.80596576e-05 9.30107823e-05 1.08022426e-04
 1.23224586e-04 1.38654241e-04 1.54143727e-04 1.70091603e-04
 1.86311349e-04 2.02713951e-04 2.19468430e-04 2.36596408e-04
 2.54077781e-04 2.71887015e-04 2.89997938e-04 3.08562903e-04
 3.27384211e-04 3.46785521e-04 3.66419790e-04 3.86582702e-04
 4.07256488e-04 4.28244594e-04 4.49740649e-04 4.71684562e-04
 4.94093119e-04 5.16924405e-04 5.40326427e-04 5.64287281e-04
 5.88670090e-04 6.13643072e-04 6.39040537e-04 6.65041165e-04
 6.91815381e-04 7.18921299e-04 7.46543835e-04 7.74957821e-04
 8.04080416e-04 8.33791811e-04 8.64013724e-04 8.95046963e-04
 9.26716339e-04 9.59073256e-04 9.92155410e-04 1.02604870e-03
 1.06054967e-03 1.09578753e-03 1.13196856e-03 1.16887141e-03
 1.20641241e-03 1.24488434e-03 1.28422587e-03 1.32448474e-03
 1.36570667e-03 1.40761773e-03 1.45061866e-03 1.49459232e-03
 1.53957946e-03 1.58530366e-03 1.63200189e-03 1.67976843e-03
 1.72859203e-03 1.77834625e-03 1.82941900e-03 1.88156019e-03
 1.93464206e-03 1.98900641e-03 2.04430180e-03 2.10086079e-03
 2.15843257e-03 2.21751417e-03 2.27772395e-03 2.33940114e-03
 2.40216528e-03 2.46642206e-03 2.53178404e-03 2.59876962e-03
 2.66689013e-03 2.73677964e-03 2.80786748e-03 2.88051897e-03
 2.95449530e-03 3.03010665e-03 3.10726529e-03 3.18588650e-03
 3.26598252e-03 3.34764377e-03 3.43085683e-03 3.51600312e-03
 3.60287928e-03 3.69137269e-03 3.78151830e-03 3.87317349e-03
 3.96676900e-03 4.06219835e-03 4.15932051e-03 4.25823058e-03
 4.35922175e-03 4.46193300e-03 4.56650532e-03 4.67293460e-03
 4.78103193e-03 4.89124599e-03 5.00332995e-03 5.11705362e-03
 5.23281187e-03 5.35040713e-03 5.47001068e-03 5.59129351e-03
 5.71427024e-03 5.83904327e-03 5.96568990e-03 6.09437863e-03
 6.22437513e-03 6.35605872e-03 6.48958754e-03 6.62458831e-03
 6.76138373e-03 6.89963581e-03 7.03920045e-03 7.18004240e-03
 7.32226332e-03 7.46545113e-03 7.60944085e-03 7.75483181e-03
 7.90066728e-03 8.04772268e-03 8.19553025e-03 8.34381653e-03
 8.49236286e-03 8.64153438e-03 8.79069098e-03 8.93987366e-03
 9.08956229e-03 9.23872592e-03 9.38767491e-03 9.53615391e-03
 9.68416411e-03 9.83169077e-03 9.97833636e-03 1.01244233e-02
 1.02696133e-02 1.04137717e-02 1.05572358e-02 1.06994844e-02
 1.08405135e-02 1.09814199e-02 1.11215864e-02 1.12607947e-02
 1.13989997e-02 1.15362492e-02 1.16729000e-02 1.18090886e-02
 1.19447813e-02 1.20796786e-02 1.22142624e-02 1.23485900e-02
 1.24828525e-02 1.26170335e-02 1.27512875e-02 1.28853991e-02
 1.30196385e-02 1.31541802e-02 1.32891674e-02 1.34247615e-02
 1.35606737e-02 1.36971123e-02 1.38343563e-02 1.39720294e-02
 1.41107918e-02 1.42506275e-02 1.43915838e-02 1.45335461e-02
 1.46766556e-02 1.48216353e-02 1.50040661e-02 1.51514059e-02
 1.53009052e-02 1.54525611e-02 1.56060362e-02 1.57624671e-02
 1.59213240e-02 1.60829071e-02 1.62472464e-02 1.64151098e-02
 1.65856664e-02 1.67605949e-02 1.69384981e-02 1.71204512e-02
 1.73074708e-02 1.74988067e-02 1.76957372e-02 1.78983777e-02
 1.81069962e-02 1.83222305e-02 1.85451895e-02 1.87760117e-02
 1.90155264e-02 1.92648990e-02 1.95246691e-02 1.97961186e-02
 2.00799961e-02 2.03774889e-02 2.06898057e-02 2.10180244e-02
 2.13639159e-02 2.17276841e-02 2.21107250e-02 2.25153565e-02
 2.29413401e-02 2.33900350e-02 2.38627201e-02 2.43601646e-02
 2.48821662e-02 2.54309778e-02 2.60060357e-02 2.66074774e-02
 2.72359453e-02 2.78915666e-02 2.85754565e-02 2.92876227e-02
 3.00292392e-02 3.08009515e-02 3.16040362e-02 3.24398494e-02
 3.33111767e-02 3.42196565e-02 3.51690923e-02 3.61621720e-02
 3.72006446e-02 3.82912759e-02 3.94384126e-02 4.06462133e-02
 4.19195404e-02 4.32645907e-02 4.46862379e-02 4.61899956e-02
 4.77774087e-02 4.94491297e-02 5.12032038e-02 5.30378802e-02
 5.49564915e-02 5.69733253e-02 5.91088642e-02 6.13965326e-02
 6.38844394e-02 6.66320452e-02 6.97289386e-02 7.33096529e-02
 7.76064365e-02 8.31177870e-02 9.11882340e-02 1.08725494e-01
 1.00000000e+00]","[0.00000000e+00 2.94893556e-05 4.68485984e-05 5.78221257e-05
 6.60791673e-05 7.30960749e-05 7.94377909e-05 8.50683038e-05
 9.02138224e-05 9.50621596e-05 9.99343445e-05 1.04679981e-04
 1.09321919e-04 1.13879469e-04 1.18159628e-04 1.22566528e-04
 1.26815550e-04 1.31061680e-04 1.35323877e-04 1.39701986e-04
 1.44119944e-04 1.48524996e-04 1.52704942e-04 1.57333299e-04
 1.62085492e-04 1.66873926e-04 1.71457764e-04 1.76422930e-04
 1.81410739e-04 1.86549132e-04 1.91437352e-04 1.96546261e-04
 2.01970507e-04 2.07488846e-04 2.13049793e-04 2.18964155e-04
 2.24798535e-04 2.30629715e-04 2.36733660e-04 2.43092540e-04
 2.49789079e-04 2.56632978e-04 2.63597538e-04 2.70537751e-04
 2.77742038e-04 2.84972380e-04 2.92555699e-04 3.00341713e-04
 3.08066754e-04 3.16163860e-04 3.24467882e-04 3.33245418e-04
 3.42097656e-04 3.51411878e-04 3.60609408e-04 3.70699360e-04
 3.81206539e-04 3.91571218e-04 4.01707383e-04 4.12727357e-04
 4.24141566e-04 4.35131710e-04 4.46910970e-04 4.58824305e-04
 4.70935679e-04 4.83564175e-04 4.96878713e-04 5.09899053e-04
 5.23479923e-04 5.37610305e-04 5.52293717e-04 5.66392684e-04
 5.81294995e-04 5.96584937e-04 6.12003122e-04 6.27483465e-04
 6.42852281e-04 6.58891635e-04 6.75380057e-04 6.92688157e-04
 7.10444727e-04 7.27960237e-04 7.46180101e-04 7.65365898e-04
 7.84252620e-04 8.03507555e-04 8.23620251e-04 8.43348631e-04
 8.64064849e-04 8.85177139e-04 9.06396461e-04 9.28206232e-04
 9.50747810e-04 9.73641396e-04 9.97335229e-04 1.02152899e-03
 1.04545655e-03 1.06997307e-03 1.09583046e-03 1.12224339e-03
 1.14922170e-03 1.17608470e-03 1.20411488e-03 1.23157214e-03
 1.26030963e-03 1.28989051e-03 1.31969551e-03 1.34935693e-03
 1.37939388e-03 1.41144983e-03 1.44233362e-03 1.47425093e-03
 1.50603619e-03 1.53800769e-03 1.56943680e-03 1.60250654e-03
 1.63580902e-03 1.66951186e-03 1.70308341e-03 1.73678907e-03
 1.77046360e-03 1.80467841e-03 1.83909546e-03 1.87336313e-03
 1.90742222e-03 1.94182996e-03 1.97632756e-03 2.01112678e-03
 2.04580410e-03 2.08054864e-03 2.11476770e-03 2.15022738e-03
 2.18554008e-03 2.22027097e-03 2.25512452e-03 2.28985019e-03
 2.32491500e-03 2.35929406e-03 2.39367573e-03 2.42736044e-03
 2.46159965e-03 2.49471260e-03 2.52883537e-03 2.56271062e-03
 2.59639613e-03 2.63023375e-03 2.66240491e-03 2.69537554e-03
 2.72770703e-03 2.75874131e-03 2.79043046e-03 2.82205323e-03
 2.85396350e-03 2.88528429e-03 2.91611009e-03 2.94630298e-03
 2.97735870e-03 3.00832441e-03 3.03869234e-03 3.06905396e-03
 3.09927638e-03 3.12885640e-03 3.15866553e-03 3.18742283e-03
 3.21629806e-03 3.24495446e-03 3.27376733e-03 3.30176183e-03
 3.33090507e-03 3.35907393e-03 3.38725119e-03 3.41496295e-03
 3.44294705e-03 3.46987134e-03 3.49691879e-03 3.52514510e-03
 3.55254061e-03 3.57990033e-03 3.76701522e-03 3.79205364e-03
 3.81787930e-03 3.84476384e-03 3.87076572e-03 3.89747771e-03
 3.92519116e-03 3.95291738e-03 3.98076393e-03 4.01061605e-03
 4.04040025e-03 4.07045107e-03 4.10129274e-03 4.13259566e-03
 4.16432831e-03 4.19648741e-03 4.23030681e-03 4.26542690e-03
 4.30110137e-03 4.33682492e-03 4.37485036e-03 4.41247544e-03
 4.45299532e-03 4.49416464e-03 4.53574705e-03 4.58022628e-03
 4.62442569e-03 4.67013582e-03 4.71879147e-03 4.76797590e-03
 4.81929757e-03 4.87213129e-03 4.92661512e-03 4.98291383e-03
 5.04068074e-03 5.09923787e-03 5.16228180e-03 5.22603091e-03
 5.29175510e-03 5.35976768e-03 5.42969705e-03 5.50100732e-03
 5.57562300e-03 5.65287721e-03 5.73296168e-03 5.81460655e-03
 5.89784153e-03 5.98571736e-03 6.07557027e-03 6.17062159e-03
 6.26664824e-03 6.36558963e-03 6.46784879e-03 6.57376406e-03
 6.68217466e-03 6.79601844e-03 6.91471191e-03 7.03551735e-03
 7.16017536e-03 7.28988982e-03 7.42513946e-03 7.56573320e-03
 7.71237272e-03 7.86316332e-03 8.01783540e-03 8.17681414e-03
 8.34933935e-03 8.53064972e-03 8.72695748e-03 8.93985067e-03
 9.17161555e-03 9.42882200e-03 9.71949305e-03 1.00476065e-02
 1.04278223e-02 1.09028686e-02 1.15515089e-02 1.27975110e-02
 0.00000000e+00]"
tpr,"[0.         0.80731889 0.83578268 0.84788295 0.8556478  0.86140257
 0.86600068 0.86985067 0.87317617 0.87611448 0.87875741 0.88116658
 0.88338692 0.88544934 0.88738136 0.88920003 0.89092247 0.8925613
 0.89412749 0.89562813 0.89706889 0.89845798 0.89979902 0.90109771
 0.90235864 0.90358144 0.90477153 0.90593223 0.90706387 0.9081692
 0.9092504  0.91030767 0.91134653 0.91236614 0.91336508 0.91434635
 0.91531169 0.91625998 0.91719364 0.91811258 0.91901798 0.91991194
 0.9207925  0.92166086 0.92251786 0.92336295 0.92419698 0.92502273
 0.92583726 0.92664255 0.92744061 0.92822778 0.92900677 0.92977754
 0.93053931 0.93129453 0.93204066 0.9327806  0.93351271 0.934238
 0.93495535 0.93566718 0.93637226 0.93707043 0.93776351 0.93845
 0.93913027 0.93980467 0.94047227 0.94113485 0.9417908  0.94244173
 0.94308821 0.94372713 0.94436162 0.94499071 0.94561554 0.9462343
 0.94684673 0.9474548  0.94805823 0.94865717 0.94925047 0.94983832
 0.95042142 0.95099933 0.95157255 0.95214101 0.95270518 0.95326378
 0.9538176  0.95436696 0.95491168 0.95545083 0.95598552 0.95651613
 0.95704127 0.95756074 0.95807655 0.95858702 0.959092   0.95959226
 0.96008795 0.96057842 0.96106324 0.96154326 0.96201837 0.96248808
 0.96295243 0.96341149 0.96386514 0.96431256 0.96475545 0.96519189
 0.9656229  0.96604823 0.96646674 0.96687977 0.96728588 0.96768615
 0.96808056 0.96846807 0.96885004 0.96922543 0.96959454 0.969956
 0.97031094 0.97065939 0.97100054 0.97133516 0.9716632  0.97198418
 0.97229835 0.97260585 0.97290702 0.97320048 0.97348709 0.97376724
 0.97404137 0.97430828 0.97456878 0.97482282 0.97507103 0.97531341
 0.97554921 0.97577947 0.97600393 0.97622363 0.97643836 0.97664812
 0.97685273 0.97705334 0.97724935 0.97744152 0.97763022 0.97781503
 0.97799693 0.97817514 0.97835043 0.97852337 0.97869344 0.97886079
 0.97902659 0.97918971 0.97935109 0.97951016 0.97966815 0.9798247
 0.97997954 0.98013325 0.98028594 0.98043806 0.98058904 0.98073968
 0.98088865 0.98103746 0.98118586 0.98133367 0.9815188  0.98166496
 0.98181141 0.98195783 0.98210457 0.98225114 0.98239783 0.98254465
 0.98269305 0.98284151 0.98299064 0.98314035 0.98329088 0.98344284
 0.98359597 0.98375036 0.98390628 0.98406341 0.98422235 0.98438331
 0.98454684 0.9847129  0.98488156 0.98505359 0.98522856 0.98540758
 0.98559053 0.98577786 0.98597003 0.98616718 0.98637025 0.98657827
 0.98679194 0.9870124  0.98723838 0.98747106 0.98770927 0.98795422
 0.98820449 0.98845985 0.98872094 0.98898648 0.98925602 0.98952944
 0.98980515 0.99008311 0.99036258 0.99064339 0.99092466 0.9912072
 0.99148947 0.99177153 0.99205412 0.99233692 0.99262017 0.99290329
 0.99318736 0.99347213 0.99375715 0.99404347 0.99432987 0.99461518
 0.99489894 0.99517835 0.99545211 0.99571798 0.99597463 0.99622341
 0.99646465 0.99670028 0.9969324  0.99716273 0.99739522 0.99763068
 0.99787109 0.99812142 0.99839518 0.99875041 1.        ]","[0.         0.02570655 0.02609877 0.02623448 0.02630281 0.02634997
 0.02638354 0.02640938 0.02643014 0.02644495 0.02645834 0.02646995
 0.0264789  0.02648519 0.02649005 0.02649507 0.02649797 0.02650105
 0.02650127 0.02650068 0.02650072 0.02650081 0.0265     0.02649819
 0.02649659 0.02649484 0.02649262 0.02648964 0.02648645 0.02648271
 0.02648017 0.02647622 0.02647071 0.02646549 0.02646051 0.02645719
 0.02645275 0.02644834 0.02644232 0.02643679 0.02643022 0.02642417
 0.02641864 0.02641279 0.02640777 0.02640238 0.02639637 0.02638895
 0.02638253 0.0263751  0.02636838 0.02636174 0.02635477 0.02634721
 0.02633991 0.02633247 0.02632511 0.02631644 0.02630855 0.0263008
 0.02629325 0.02628503 0.0262763  0.02626793 0.02625891 0.02625044
 0.02624217 0.02623316 0.02622467 0.0262155  0.02620696 0.02619842
 0.02618983 0.02618094 0.02617348 0.02616503 0.02615639 0.02614836
 0.02613974 0.02613115 0.02612216 0.02611352 0.02610546 0.0260977
 0.02609022 0.02608152 0.02607248 0.0260636  0.0260551  0.02604637
 0.02603812 0.02602943 0.0260202  0.02601098 0.0260022  0.02599294
 0.0259841  0.02597468 0.02596498 0.02595542 0.02594571 0.02593592
 0.02592612 0.02591676 0.02590698 0.02589672 0.02588682 0.02587796
 0.02586892 0.02585887 0.02584948 0.02584065 0.02583115 0.02582224
 0.025813   0.02580358 0.02579381 0.02578435 0.02577515 0.02576615
 0.02575684 0.02574802 0.02573965 0.02573164 0.0257232  0.0257153
 0.02570711 0.02569916 0.02569154 0.02568404 0.02567635 0.02566881
 0.02566171 0.0256543  0.02564612 0.0256389  0.02563162 0.02562474
 0.02561816 0.02561142 0.02560452 0.0255976  0.02559101 0.02558428
 0.02557823 0.02557205 0.02556604 0.02556075 0.02555484 0.02554906
 0.02554334 0.02553775 0.02553194 0.02552641 0.02552065 0.02551585
 0.02551086 0.02550539 0.0255003  0.02549495 0.02548961 0.02548492
 0.02548033 0.02547544 0.02547085 0.02546571 0.02546106 0.0254567
 0.02545235 0.02544791 0.02544333 0.02543865 0.02543438 0.02543042
 0.02542634 0.02542177 0.02541765 0.02541366 0.02535975 0.02535611
 0.02535241 0.02534852 0.02534467 0.02534073 0.02533693 0.025333
 0.02532908 0.02532467 0.02532021 0.02531561 0.02531126 0.02530684
 0.02530262 0.02529726 0.02529225 0.0252867  0.0252815  0.02527667
 0.02527106 0.02526466 0.0252584  0.02525232 0.02524606 0.02523958
 0.02523268 0.02522592 0.0252197  0.02521285 0.02520564 0.02519824
 0.02519144 0.02518412 0.02517577 0.02516756 0.02515846 0.02514981
 0.02514077 0.02513172 0.02512168 0.02511258 0.02510285 0.02509371
 0.02508315 0.02507347 0.02506351 0.02505306 0.02504345 0.0250338
 0.02502449 0.025016   0.02500683 0.02499852 0.02499121 0.02498425
 0.02497772 0.02497024 0.02496223 0.0249547  0.02494639 0.02493811
 0.02492815 0.02491783 0.02490612 0.02489352 0.02487851 0.02486236
 0.024845   0.02482644 0.02480407 0.02478073 0.02475207 0.02471799
 0.02467699 0.02462356 0.02454409 0.02436805 0.        ]"
auc,0.9983962286558542
