fpr,"[0.00000000e+00 3.06287351e-05 5.59657839e-05 6.88384097e-05
 7.81293663e-05 8.59584347e-05 9.32313911e-05 1.00271379e-04
 1.07303928e-04 1.14519450e-04 1.21987461e-04 1.29820837e-04
 1.38230213e-04 1.47065062e-04 1.56572498e-04 1.66712699e-04
 1.77686907e-04 1.89523274e-04 2.02323380e-04 2.15964387e-04
 2.30685947e-04 2.46453394e-04 2.63574306e-04 2.81955061e-04
 3.01708802e-04 3.22991309e-04 3.45772245e-04 3.70262526e-04
 3.96266927e-04 4.24093735e-04 4.53901502e-04 4.85549680e-04
 5.19064877e-04 5.54733203e-04 5.92493919e-04 6.32400275e-04
 6.74391546e-04 7.18730837e-04 7.65106722e-04 8.14146982e-04
 8.65386751e-04 9.19086619e-04 9.75299664e-04 1.03403693e-03
 1.09551660e-03 1.15926794e-03 1.22553111e-03 1.29459509e-03
 1.36605615e-03 1.44030061e-03 1.51717237e-03 1.59649162e-03
 1.67861927e-03 1.76329178e-03 1.85064011e-03 1.94076291e-03
 2.03375907e-03 2.12948359e-03 2.22801381e-03 2.32963682e-03
 2.43366076e-03 2.54058153e-03 2.64999252e-03 2.76236248e-03
 2.87763404e-03 2.99563740e-03 3.11599108e-03 3.23937612e-03
 3.36520313e-03 3.49408497e-03 3.62537106e-03 3.75947445e-03
 3.89595025e-03 4.03542981e-03 4.17763365e-03 4.32188545e-03
 4.46886906e-03 4.61846694e-03 4.77058928e-03 4.92503557e-03
 5.08195212e-03 5.24162152e-03 5.40321185e-03 5.56745021e-03
 5.73387009e-03 5.90305925e-03 6.07425653e-03 6.24780437e-03
 6.42342449e-03 6.60152349e-03 6.78163515e-03 6.96449637e-03
 7.14948788e-03 7.33629540e-03 7.52559583e-03 7.71692273e-03
 7.91061352e-03 8.10670001e-03 8.30518213e-03 8.50545790e-03
 8.70841587e-03 8.91415395e-03 9.12186166e-03 9.33195540e-03
 9.54439645e-03 9.75945249e-03 9.97743233e-03 1.01981873e-02
 1.04220913e-02 1.06489025e-02 1.08786300e-02 1.11116474e-02
 1.13482651e-02 1.15884443e-02 1.18313530e-02 1.20772224e-02
 1.23265645e-02 1.25787178e-02 1.28336686e-02 1.30908061e-02
 1.33508202e-02 1.36127448e-02 1.38773660e-02 1.41435306e-02
 1.44113803e-02 1.46808843e-02 1.49527607e-02 1.52257797e-02
 1.55011723e-02 1.57782248e-02 1.60573411e-02 1.63377413e-02
 1.66205987e-02 1.69055614e-02 1.71927392e-02 1.74823546e-02
 1.77747055e-02 1.80697073e-02 1.83671384e-02 1.86671438e-02
 1.89705958e-02 1.92766998e-02 1.95862028e-02 1.98988633e-02
 2.02150141e-02 2.05346304e-02 2.08579653e-02 2.11853472e-02
 2.15168866e-02 2.18528418e-02 2.21929072e-02 2.25371141e-02
 2.28858132e-02 2.32386398e-02 2.35960172e-02 2.39581399e-02
 2.43253546e-02 2.46969800e-02 2.50738081e-02 2.54555791e-02
 2.58425094e-02 2.62346562e-02 2.66326069e-02 2.70366513e-02
 2.74468635e-02 2.78630553e-02 2.82862037e-02 2.87165201e-02
 2.91544312e-02 2.95999234e-02 3.00527644e-02 3.05134383e-02
 3.09833916e-02 3.14625308e-02 3.19512764e-02 3.24492744e-02
 3.29572239e-02 3.34769958e-02 3.40074644e-02 3.45518645e-02
 3.51115389e-02 3.56831432e-02 3.62728649e-02 3.68773281e-02
 3.74912381e-02 3.81201300e-02 3.87678391e-02 3.94280524e-02
 4.01090400e-02 4.08039309e-02 4.15156992e-02 4.22459084e-02
 4.29998896e-02 4.37776184e-02 4.45829116e-02 4.54054401e-02
 4.62559885e-02 4.71544388e-02 4.80433170e-02 4.89633782e-02
 4.99432519e-02 5.09351959e-02 5.20319775e-02 5.30997756e-02
 5.42832121e-02 5.55679782e-02 5.70650234e-02 5.88223507e-02
 6.06944647e-02 6.24296474e-02 6.41296271e-02 6.60351133e-02
 6.76182701e-02 6.89850531e-02 7.05136605e-02 7.19322607e-02
 7.32366009e-02 7.43577204e-02 7.54128495e-02 7.64603170e-02
 7.75129330e-02 7.85776618e-02 7.96477642e-02 8.07306506e-02
 8.18277327e-02 8.29477632e-02 8.40985404e-02 8.52762150e-02
 8.64967704e-02 8.77602742e-02 8.90740000e-02 9.04458005e-02
 9.19030326e-02 9.34490725e-02 9.50761335e-02 9.68096087e-02
 9.86865548e-02 1.00702878e-01 1.02918083e-01 1.05355680e-01
 1.08089472e-01 1.11155628e-01 1.14687214e-01 1.18669452e-01
 1.23413068e-01 1.29170884e-01 1.36771973e-01 1.46705111e-01
 1.59628307e-01 1.80008315e-01 2.08253166e-01 2.50405046e-01
 3.19367362e-01 4.16762227e-01 5.43124890e-01 7.27952015e-01
 1.00000000e+00]","[0.00000000e+00 3.66135217e-05 5.73476412e-05 6.63913026e-05
 7.24792772e-05 7.75617110e-05 8.23292921e-05 8.69610251e-05
 9.17346819e-05 9.67287474e-05 1.01854613e-04 1.07464398e-04
 1.13627732e-04 1.20117730e-04 1.27070232e-04 1.34333258e-04
 1.42057901e-04 1.50262059e-04 1.58835553e-04 1.67791036e-04
 1.77408867e-04 1.87306029e-04 1.97734107e-04 2.08630343e-04
 2.19909135e-04 2.31566979e-04 2.43938943e-04 2.56580719e-04
 2.69762640e-04 2.83604430e-04 2.98047314e-04 3.12890161e-04
 3.28596529e-04 3.44716291e-04 3.61480808e-04 3.78725878e-04
 3.96565173e-04 4.15356426e-04 4.34560104e-04 4.54543287e-04
 4.75138765e-04 4.96396980e-04 5.18291169e-04 5.41066390e-04
 5.64355576e-04 5.88314852e-04 6.13012481e-04 6.38523260e-04
 6.64568650e-04 6.91512183e-04 7.19034062e-04 7.47335404e-04
 7.76122666e-04 8.05200298e-04 8.35203142e-04 8.65830598e-04
 8.96869118e-04 9.28421657e-04 9.60487355e-04 9.93393655e-04
 1.02688835e-03 1.06030957e-03 1.09426368e-03 1.12863855e-03
 1.16336560e-03 1.19857341e-03 1.23403834e-03 1.26943696e-03
 1.30528740e-03 1.34125434e-03 1.37791640e-03 1.41456702e-03
 1.45126158e-03 1.48821831e-03 1.52493220e-03 1.56203266e-03
 1.59915793e-03 1.63603101e-03 1.67247997e-03 1.70912474e-03
 1.74567690e-03 1.78249530e-03 1.81868977e-03 1.85440213e-03
 1.89039809e-03 1.92588009e-03 1.96134857e-03 1.99638397e-03
 2.03060261e-03 2.06509447e-03 2.09925366e-03 2.13270459e-03
 2.16594000e-03 2.19915240e-03 2.23190965e-03 2.26439510e-03
 2.29693941e-03 2.32971890e-03 2.36251333e-03 2.39554980e-03
 2.42942657e-03 2.46378924e-03 2.49975198e-03 2.53793033e-03
 2.57826111e-03 2.62312823e-03 2.67373399e-03 2.73158172e-03
 2.79868206e-03 2.87751126e-03 2.97050226e-03 3.07962003e-03
 3.20802816e-03 3.35455291e-03 3.52131450e-03 3.70640168e-03
 3.90824809e-03 4.12530208e-03 4.35389925e-03 4.58954972e-03
 4.83241807e-03 5.07619795e-03 5.32260172e-03 5.56435388e-03
 5.80013497e-03 6.02779794e-03 6.25066341e-03 6.46270058e-03
 6.66607735e-03 6.85892410e-03 7.03829126e-03 7.20786927e-03
 7.36746024e-03 7.51819531e-03 7.66089947e-03 7.79426754e-03
 7.91911709e-03 8.03742933e-03 8.15008870e-03 8.25602721e-03
 8.35729469e-03 8.45372505e-03 8.54607194e-03 8.63508077e-03
 8.72294084e-03 8.80964337e-03 8.89445522e-03 8.98087500e-03
 9.06786644e-03 9.15729393e-03 9.24828402e-03 9.34388476e-03
 9.44354347e-03 9.54772240e-03 9.65573513e-03 9.76944026e-03
 9.88824585e-03 1.00117114e-02 1.01413720e-02 1.02742285e-02
 1.04108784e-02 1.05525006e-02 1.06989081e-02 1.08516644e-02
 1.10112753e-02 1.11768075e-02 1.13511102e-02 1.15353396e-02
 1.17288607e-02 1.19351699e-02 1.21554311e-02 1.23904499e-02
 1.26440146e-02 1.29176164e-02 1.32141447e-02 1.35354877e-02
 1.38829233e-02 1.42648508e-02 1.46778286e-02 1.51367959e-02
 1.56460820e-02 1.61976161e-02 1.68133890e-02 1.74914997e-02
 1.82042025e-02 1.89696429e-02 1.98117576e-02 2.07078878e-02
 2.16880019e-02 2.27201652e-02 2.38286863e-02 2.50116358e-02
 2.62918203e-02 2.76724322e-02 2.91812590e-02 3.07664178e-02
 3.24684353e-02 3.44101348e-02 3.62889658e-02 3.83041257e-02
 4.06122805e-02 4.29575382e-02 4.58354439e-02 4.85088019e-02
 5.17750542e-02 5.55837945e-02 6.05092961e-02 6.68271996e-02
 7.37424210e-02 7.98788979e-02 8.57725739e-02 9.27321899e-02
 9.78332773e-02 1.01664850e-01 1.06381084e-01 1.10420701e-01
 1.13741208e-01 1.15929834e-01 1.17672118e-01 1.19276925e-01
 1.20793471e-01 1.22210307e-01 1.23541864e-01 1.24800539e-01
 1.25953633e-01 1.27035700e-01 1.28048296e-01 1.28998810e-01
 1.29894289e-01 1.30738095e-01 1.31543634e-01 1.32297044e-01
 1.33057661e-01 1.33816358e-01 1.34541098e-01 1.35215954e-01
 1.35837795e-01 1.36485222e-01 1.37107000e-01 1.37645895e-01
 1.38216208e-01 1.38743195e-01 1.39178283e-01 1.39600971e-01
 1.40020371e-01 1.40505384e-01 1.41173489e-01 1.42270284e-01
 1.44637281e-01 1.52854372e-01 1.66635923e-01 1.82209557e-01
 2.03447206e-01 2.01507286e-01 1.90599691e-01 1.37851711e-01
 0.00000000e+00]"
tpr,"[0.         0.22921645 0.45339861 0.55662497 0.61657959 0.65661963
 0.68582008 0.70839449 0.72659885 0.74175263 0.7546756  0.76589865
 0.77580156 0.78464591 0.79262594 0.79988678 0.80654459 0.81268606
 0.81838323 0.82369579 0.82867269 0.83335147 0.83776568 0.84194147
 0.8459032  0.84967192 0.85326828 0.85670395 0.85999468 0.8631521
 0.8661841  0.86910044 0.87191153 0.87462471 0.87724093 0.87977271
 0.88222051 0.88459014 0.88688584 0.88911528 0.89127932 0.89338075
 0.89542569 0.89741492 0.89934719 0.90123053 0.90306345 0.90484866
 0.90658971 0.90828845 0.90994666 0.91156362 0.91314305 0.91468412
 0.91618854 0.91765864 0.91909636 0.92050123 0.92187505 0.92321867
 0.92453133 0.92581632 0.92707542 0.92830578 0.92951142 0.93068944
 0.93184488 0.93297561 0.93408431 0.9351695  0.93623287 0.93727579
 0.93829776 0.9392999  0.94028021 0.94124236 0.94218759 0.94311314
 0.94402144 0.9449141  0.94578855 0.94664726 0.94748949 0.94831828
 0.94913163 0.94993182 0.95071592 0.95148764 0.95224422 0.95298947
 0.95372195 0.95444266 0.95515086 0.95584661 0.95653089 0.95720525
 0.95787016 0.9585223  0.95916577 0.95979831 0.96042186 0.96103537
 0.96164074 0.962237   0.96282487 0.96340488 0.96397509 0.96453945
 0.96509659 0.96564363 0.96618404 0.96671588 0.96724229 0.96776086
 0.96827412 0.96878049 0.96928054 0.96977409 0.97026129 0.97074265
 0.97121777 0.97168778 0.97215199 0.97261153 0.97306565 0.97351514
 0.97395933 0.97439781 0.9748323  0.97526251 0.97568571 0.97610613
 0.97652161 0.97693298 0.9773394  0.97774208 0.97814043 0.97853442
 0.97892443 0.97931081 0.97969287 0.98007126 0.98044632 0.98081616
 0.98118315 0.98154661 0.98190625 0.98226255 0.98261562 0.98296512
 0.98331126 0.98365386 0.9839933  0.98432925 0.98466254 0.98499242
 0.98531884 0.98564313 0.98596427 0.98628209 0.98659709 0.98690971
 0.98721896 0.98752575 0.98782925 0.98813002 0.98842801 0.98872248
 0.98901482 0.98930459 0.98959094 0.98987468 0.99015527 0.99043279
 0.99070633 0.99097698 0.99124541 0.99150907 0.99177015 0.9920279
 0.99228138 0.99253119 0.992777   0.99301894 0.99325741 0.9934915
 0.99372155 0.99394647 0.99416687 0.9943825  0.99459308 0.9947984
 0.99499902 0.99519395 0.99538338 0.99556808 0.99574745 0.99592111
 0.99608937 0.99625274 0.99641078 0.99656341 0.99671164 0.99685347
 0.99699105 0.99712407 0.99725194 0.99737506 0.99749329 0.99760714
 0.99771645 0.99782061 0.99792011 0.9980155  0.99810625 0.99819175
 0.99827338 0.99835081 0.99842337 0.99849245 0.99855791 0.99862017
 0.99867966 0.99873651 0.99879136 0.99884391 0.99889503 0.99894435
 0.99899261 0.99903968 0.99908555 0.99913032 0.9991738  0.99921665
 0.99925844 0.99929923 0.99933934 0.99937902 0.99941795 0.99945608
 0.99949387 0.99953129 0.99956818 0.99960436 0.99964091 0.99967705
 0.99971294 0.99974841 0.99978356 0.99981838 0.99985253 0.99988593
 0.99991919 0.99995182 0.99998104 0.99999961 1.        ]","[0.00000000e+00 1.59189232e-01 2.23587924e-01 2.23726377e-01
 2.13599666e-01 2.02340169e-01 1.91771124e-01 1.82190031e-01
 1.73558960e-01 1.65773254e-01 1.58727343e-01 1.52330848e-01
 1.46489982e-01 1.41147285e-01 1.36240374e-01 1.31721808e-01
 1.27542162e-01 1.23664460e-01 1.20057613e-01 1.16693903e-01
 1.13549539e-01 1.10593853e-01 1.07817888e-01 1.05198613e-01
 1.02720851e-01 1.00370458e-01 9.81401536e-02 9.60179187e-02
 9.39920580e-02 9.20572929e-02 9.02104540e-02 8.84388204e-02
 8.67361436e-02 8.50991842e-02 8.35231242e-02 8.20021382e-02
 8.05336973e-02 7.91177138e-02 7.77444854e-02 7.64136244e-02
 7.51221870e-02 7.38698216e-02 7.26478152e-02 7.14632041e-02
 7.03063681e-02 6.91793316e-02 6.80821756e-02 6.70086477e-02
 6.59638341e-02 6.49387250e-02 6.39363456e-02 6.29533395e-02
 6.19880176e-02 6.10495831e-02 6.01277778e-02 5.92255911e-02
 5.83356441e-02 5.74637163e-02 5.66066448e-02 5.57634002e-02
 5.49348108e-02 5.41175774e-02 5.33140043e-02 5.25242182e-02
 5.17443394e-02 5.09761301e-02 5.02172521e-02 4.94687740e-02
 4.87348387e-02 4.80099619e-02 4.72920206e-02 4.65833579e-02
 4.58855252e-02 4.51949750e-02 4.45156203e-02 4.38429970e-02
 4.31761745e-02 4.25218142e-02 4.18724908e-02 4.12299353e-02
 4.05953865e-02 3.99698257e-02 3.93474804e-02 3.87348301e-02
 3.81306940e-02 3.75329040e-02 3.69404598e-02 3.63551357e-02
 3.57753581e-02 3.52000435e-02 3.46328377e-02 3.40710143e-02
 3.35157319e-02 3.29667590e-02 3.24245237e-02 3.18874701e-02
 3.13539953e-02 3.08282064e-02 3.03071772e-02 2.97913882e-02
 2.92815974e-02 2.87782613e-02 2.82816425e-02 2.77893292e-02
 2.73012382e-02 2.68198553e-02 2.63464082e-02 2.58755034e-02
 2.54087142e-02 2.49491304e-02 2.44940199e-02 2.40461193e-02
 2.36017945e-02 2.31641441e-02 2.27306656e-02 2.23027038e-02
 2.18790282e-02 2.14593308e-02 2.10472622e-02 2.06408870e-02
 2.02384703e-02 1.98437945e-02 1.94521987e-02 1.90654699e-02
 1.86849921e-02 1.83087024e-02 1.79401832e-02 1.75755288e-02
 1.72149645e-02 1.68608521e-02 1.65112349e-02 1.61673752e-02
 1.58298056e-02 1.54959391e-02 1.51669285e-02 1.48438313e-02
 1.45270871e-02 1.42160052e-02 1.39093602e-02 1.36071508e-02
 1.33108052e-02 1.30179544e-02 1.27290632e-02 1.24450767e-02
 1.21658119e-02 1.18928523e-02 1.16258793e-02 1.13623998e-02
 1.11040015e-02 1.08489536e-02 1.05990906e-02 1.03537577e-02
 1.01136987e-02 9.87626870e-03 9.64527586e-03 9.41714598e-03
 9.19460108e-03 8.97648755e-03 8.76262815e-03 8.55271684e-03
 8.34555992e-03 8.14166295e-03 7.94344093e-03 7.74772300e-03
 7.55691599e-03 7.37068058e-03 7.18749667e-03 7.00818906e-03
 6.83179518e-03 6.65924440e-03 6.49056651e-03 6.32371404e-03
 6.16169739e-03 6.00339134e-03 5.84736041e-03 5.69563483e-03
 5.54521378e-03 5.39819145e-03 5.25480326e-03 5.11320244e-03
 4.97552416e-03 4.84085813e-03 4.70815627e-03 4.57868968e-03
 4.45095032e-03 4.32580537e-03 4.20231711e-03 4.08235626e-03
 3.96462163e-03 3.84924344e-03 3.73582645e-03 3.62399549e-03
 3.51482931e-03 3.40801412e-03 3.30326578e-03 3.19954891e-03
 3.09871996e-03 2.99834446e-03 2.90107660e-03 2.80581167e-03
 2.71284712e-03 2.62169608e-03 2.53179494e-03 2.44531033e-03
 2.36031512e-03 2.27787032e-03 2.19723998e-03 2.11719148e-03
 2.03972264e-03 1.96400137e-03 1.89016128e-03 1.81934561e-03
 1.75042593e-03 1.68221359e-03 1.61573235e-03 1.55052116e-03
 1.48804599e-03 1.42664255e-03 1.36715634e-03 1.31012376e-03
 1.25442760e-03 1.20013121e-03 1.14786488e-03 1.09770825e-03
 1.04982648e-03 1.00454020e-03 9.60590910e-04 9.19056958e-04
 8.79335661e-04 8.40978759e-04 8.04163380e-04 7.69879577e-04
 7.36853401e-04 7.05073423e-04 6.74390111e-04 6.45609231e-04
 6.18001661e-04 5.90703887e-04 5.64406631e-04 5.38778898e-04
 5.13513800e-04 4.88642165e-04 4.63741835e-04 4.38932579e-04
 4.14282524e-04 3.88916252e-04 3.62849493e-04 3.35272665e-04
 3.06736528e-04 2.75886405e-04 2.42075387e-04 2.04501257e-04
 1.61751774e-04 1.13314449e-04 5.88259079e-05 1.69107250e-06
 0.00000000e+00]"
auc,0.9986318538005476
